FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.TempFolderRuleTest.java.TempFolderRuleTest.CreatesRandomSubFolders,CreatesRandomSubFolders,0.18572603866721513,1,6,0,0,0,1,0.0,23,15,1.0,0,1,0,1,1,0.0,2
org.junit.tests.experimental.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.AssumptionTest.java.AssumptionTest.AssumptionFailureInConstructor,AssumptionFailureInConstructor,0.18572603866721513,0,1,0,0,0,1,0.0,30,10,1.0,0,1,0,1,1,0.0,1
org.junit.tests.running.classes.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ParentRunnerTest.java.ParentRunnerTest.AssertionErrorAtParentLevelTest,AssertionErrorAtParentLevelTest,0.18572603866721513,0,1,0,0,0,4,0.0,31,9,1.0,0,2,0,2,2,0.0,2
org.junit.tests.experimental.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.AssumptionTest.java.AssumptionTest.HasFailingAssumeInBeforeClass,HasFailingAssumeInBeforeClass,0.18572603866721513,0,1,0,0,0,4,0.0,29,11,1.0,0,2,0,2,2,0.0,2
org.junit.tests.experimental.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.AssumptionTest.java.AssumptionTest.HasFailingAssumeInBefore,HasFailingAssumeInBefore,0.18572603866721513,0,1,0,0,0,4,0.0,24,11,1.0,0,2,0,2,2,0.0,2
org.junit.tests.running.classes.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ParentRunnerTest.java.ParentRunnerTest.NonPublicTestClass,NonPublicTestClass,0.18572603866721513,0,1,0,0,0,1,0.0,18,7,1.0,0,1,0,1,1,0.0,1
junit.tests.framework.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ComparisonCompactorTest.java.ComparisonCompactorTest,ComparisonCompactorTest,0.18572603866721513,0,1,0,0,0,361,0.0,23,97,1.0,0,19,0,19,19,0.0,19
org.junit.experimental.theories.internal.ParameterizedAssertionError.java.ParameterizedAssertionError,ParameterizedAssertionError,0.18572603866721513,0,1,0,0,0,25,0.0,27,44,1.0,0,6,0,5,5,0.0,7
org.junit.runner.Throwables.java.Request.java.Request,Request,0.1366378719319896,4,4,4,0,0,121,0.0,7,160,0.0,2,11,1,11,13,0.0,11
junit.tests.framework.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.Success.java.Success,Success,0.1366378719319896,0,1,0,0,0,4,0.0,7,12,0.6666666666666667,0,2,0,2,2,0.0,2
org.junit.tests.running.classes.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ParentRunnerTest.java.ParentRunnerTest.ExampleTest,ExampleTest,0.18572603866721513,0,1,0,0,0,9,0.0,11,13,1.0,0,3,0,3,3,0.0,3
org.junit.tests.running.classes.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ParentRunnerTest.java.ParentRunnerTest.Exclude,Exclude,0.04908816673522555,0,1,0,0,1,0,1.0,7,17,1.0,0,3,0,2,2,1.0,2
