kind,#,name,N_SentenceSize,N_SentenceSize (score),N_XMLSize,N_XMLSize (score),R_Stability,R_Stability (score),N_InEdgeCount,N_InEdgeCount (score),N_OutEdgeCount,N_OutEdgeCount (score),R_XMLSimilarity,R_XMLSimilarity (score),R_XMLUniqueness,R_XMLUniqueness (score),N_PointlessAbstraction,N_PointlessAbstraction (score),R_TextSimilarity,R_TextSimilarity (score),N_TextSize,N_TextSize (score),N_SubSectionWidth,N_SubSectionWidth (score),N_SubSectionDepth,N_SubSectionDepth (score),N_BrokenRefs,N_BrokenRefs (score),N_BackRefs,N_BackRefs (score),N_TextSimilar,N_TextSimilar (score),R_TextUniqueness,R_TextUniqueness (score)
file,150,Configuring surveys - BMC Remedy IT Service Management Suite 8.1,12.0,0.26843710748250493,6589.0,0.49646107178968657,0.7777777777777778,0.0,2.0,0.7012410892866301,7.0,0.5004872044720242,0.0,0.0,0.0,0.0,2.0,0.4797169085594133,0.23231584981369546,0.7742317367927786,269.0,0.41267140179540296,2.0,0.44688409730103124,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,1163.0,0.8787234042553191,0.2333333333333334,0.694988408227692
file,299,dc_vrp_feature_l2mc_0004.xml,51.0,0.7145676860372715,251.0,0.10288786406569829,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.726003748643583,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,410,dc_vrp_overview_feature_1008.xml,13.0,0.2864063981953808,52.0,0.059434264716762435,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,214.0,0.3382657591003255,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,657,BMC Remedy IT Service Management Suite 9.0 : Work info sub-component permissions,21.0,0.4522057881110456,16439.0,0.6869466571308787,0.8571428571428571,0.0,2.0,0.7012410892866301,12.0,0.6654700241038002,0.0,0.0,0.0,0.0,3.0,0.5376173137083953,0.09285714285714274,0.6734573077492231,668.0,0.6551987767584098,2.0,0.5187990329106429,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,85.0,0.7524480902332735,0.09285714285714286,0.6132047550929808
file,165,DitaMap: seu1391093120434,0.0,0.0,10.0,0.028089471996843324,0.09090909090909091,0.0,1.0,0.4386635212062157,10.0,0.6128262987845531,0.0,0.0,0.0,0.0,1.0,0.38701984717164983,0.0,0.0,0.0,0.0,3.0,0.565303202249963,3.0,0.8030048847880792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,125,sek1395932334180.xml,1.0,0.05144702776140063,36.0,0.04774470393844484,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.06542862779915162,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,41,seu1391421252521.xml,3.0,0.11378841865114968,46.0,0.05368813041012109,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.06542862779915162,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,761,dc_vrp_mstp_feature_0024.xml,7.0,0.1863833277793443,48.0,0.05368813041012109,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.2239321298214462,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,574,BMC Remedy IT Service Management Suite 9.0 : Setting up a high availability and automatic failover for the Smart IT social database,14.0,0.3084514624080388,16639.0,0.6888949172605983,0.8888888888888888,0.0,2.0,0.7012410892866301,16.0,0.7866044412533976,0.0,0.0,0.0,0.0,4.0,0.5736448022975538,0.131529263687854,0.7116608296749372,549.0,0.6154927493341226,2.0,0.565303202249963,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,7.0,0.676595744680851,0.1674008810572687,0.6541952350416811
file,154,dc_vrp_mff_feature_0009.xml,1.0,0.05144702776140063,22.0,0.0407654936003354,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.06542862779915162,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
